level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1600	900	-1	
2	1	1	0	0	0	86	48	741	55	-1	
3	1	1	1	0	0	86	48	741	55	-1	
4	1	1	1	1	0	86	48	741	55	-1	
5	1	1	1	1	1	86	48	117	51	64.065514	背景
5	1	1	1	1	2	206	44	124	66	93.109596	:Agent
5	1	1	1	1	3	350	48	155	50	96.204842	记忆
5	1	1	1	1	4	469	44	63	66	96.605133	的
5	1	1	1	1	5	513	48	205	51	92.631607	向
5	1	1	1	1	6	585	44	46	66	92.539505	量
5	1	1	1	1	7	630	48	88	51	95.712181	检索
5	1	1	1	1	8	726	48	101	51	57.718094	困境
2	1	2	0	0	0	98	186	1170	211	-1	
3	1	2	1	0	0	99	186	1169	67	-1	
4	1	2	1	1	0	99	186	1169	30	-1	
5	1	2	1	1	1	99	192	90	24	92.164398	。Agent
5	1	2	1	1	2	210	186	33	28	96.605713	长
5	1	2	1	1	3	258	188	18	24	96.377960	期
5	1	2	1	1	4	275	181	40	43	95.946129	工作
5	1	2	1	1	5	326	186	49	28	96.120255	必须
5	1	2	1	1	6	387	186	48	28	96.931999	保存
5	1	2	1	1	7	447	186	18	28	96.760315	并
5	1	2	1	1	8	473	186	69	28	95.437866	检索
5	1	2	1	1	9	541	181	57	43	96.936447	历史
5	1	2	1	1	10	598	187	17	26	92.978836	经
5	1	2	1	1	11	627	186	18	28	93.226212	验
5	1	2	1	1	12	1049	189	14	16	92.581436	内
5	1	2	1	1	13	1069	189	19	16	14.778481	存
5	1	2	1	1	14	1098	189	9	16	28.484564	称
5	1	2	1	1	15	1115	189	8	16	0.000000	缺
5	1	2	1	1	16	1131	189	9	16	23.320284	市
5	1	2	1	1	17	1148	189	10	16	75.220505	场
5	1	2	1	1	18	1165	189	20	17	78.330376	现状
5	1	2	1	1	19	1186	189	82	17	66.038727	(rendForee)
4	1	2	1	2	0	99	221	750	32	-1	
5	1	2	1	2	1	99	229	90	24	92.840500	。Agent
5	1	2	1	2	2	207	223	66	28	96.691200	运行
5	1	2	1	2	3	272	218	28	43	93.243454	时
5	1	2	1	2	4	299	223	28	28	92.673973	吃
5	1	2	1	2	5	328	223	17	28	92.404808	掉
5	1	2	1	2	6	358	223	28	28	92.882477	大
5	1	2	1	2	7	394	224	11	27	96.061035	部
5	1	2	1	2	8	420	223	15	28	96.933563	分
5	1	2	1	2	9	449	223	14	28	93.299423	内
5	1	2	1	2	10	476	223	19	28	92.005714	存
5	1	2	1	2	11	498	223	64	29	95.035835	,检索
5	1	2	1	2	12	576	223	47	28	96.641747	系统
5	1	2	1	2	13	635	225	17	26	96.945854	只
5	1	2	1	2	14	664	223	18	28	95.958092	能
5	1	2	1	2	15	694	224	17	27	93.123840	用
5	1	2	1	2	16	721	223	21	28	87.147781	受
5	1	2	1	2	17	827	221	22	8	63.440029	“|
3	1	2	2	0	0	98	259	87	28	-1	
4	1	2	2	1	0	98	259	87	28	-1	
5	1	2	2	1	1	98	259	87	28	36.450542	BRA
3	1	2	3	0	0	98	296	542	66	-1	
4	1	2	3	1	0	99	296	541	28	-1	
5	1	2	3	1	1	99	307	9	9	92.723778	。
5	1	2	3	1	2	129	297	18	27	90.937462	题
5	1	2	3	1	3	160	298	13	26	90.533882	目
5	1	2	3	1	4	180	307	4	14	92.582718	:
5	1	2	3	1	5	200	296	26	28	92.891251	数
5	1	2	3	1	6	228	296	33	28	93.184334	据
5	1	2	3	1	7	278	296	10	27	93.237686	集
5	1	2	3	1	8	291	296	13	28	92.563560	的
5	1	2	3	1	9	315	301	110	21	91.502617	10%-20%
5	1	2	3	1	10	438	296	21	28	93.285980	内
5	1	2	3	1	11	470	296	35	28	88.096855	存
5	1	2	3	1	12	505	296	135	28	96.309486	预算
5	1	2	3	1	13	562	289	30	42	96.854874	内
5	1	2	3	1	14	591	289	29	42	96.461655	做
5	1	2	3	1	15	620	289	24	42	96.831215	到
4	1	2	3	2	0	98	337	221	25	-1	
5	1	2	3	2	1	98	337	126	25	91.361610	Recall@10
5	1	2	3	2	2	232	342	28	15	96.599464	>=
5	1	2	3	2	3	269	338	50	21	96.599464	85%
3	1	2	4	0	0	99	369	556	28	-1	
4	1	2	4	1	0	99	369	556	28	-1	
5	1	2	4	1	1	99	380	9	9	93.205101	。
5	1	2	4	1	2	127	369	38	28	90.257591	动
5	1	2	4	1	3	180	370	15	27	93.203148	态
5	1	2	4	1	4	209	369	15	28	91.595444	写
5	1	2	4	1	5	223	364	18	43	89.906166	入
5	1	2	4	1	6	245	378	14	14	96.944275	+
5	1	2	4	1	7	280	369	15	28	96.415657	高
5	1	2	4	1	8	309	369	16	28	96.968872	并
5	1	2	4	1	9	339	369	27	28	96.982452	发
5	1	2	4	1	10	369	369	46	28	96.555649	混合
5	1	2	4	1	11	428	369	63	28	95.816666	负载
5	1	2	4	1	12	498	369	37	28	96.588608	必须
5	1	2	4	1	13	549	369	46	28	95.872894	同时
5	1	2	4	1	14	608	369	17	28	93.155701	成
5	1	2	4	1	15	640	369	15	26	93.151688	立
2	1	3	0	0	0	844	780	656	7	-1	
3	1	3	1	0	0	844	780	656	7	-1	
4	1	3	1	1	0	844	780	656	7	-1	
5	1	3	1	1	1	844	780	656	7	95.000000	 
2	1	4	0	0	0	910	794	522	11	-1	
3	1	4	1	0	0	910	794	522	11	-1	
4	1	4	1	1	0	910	794	522	11	-1	
5	1	4	1	1	1	910	796	29	8	88.990768	DRAM
5	1	4	1	1	2	943	794	22	11	96.072937	价格
5	1	4	1	1	3	969	796	36	9	87.561569	202601,
5	1	4	1	1	4	1139	796	9	8	50.578888	人
5	1	4	1	1	5	1152	794	58	11	67.431709	服务
5	1	4	1	1	6	1180	786	11	28	91.552063	器
5	1	4	1	1	7	1191	786	11	28	93.209244	内
5	1	4	1	1	8	1201	786	13	28	64.890221	存
5	1	4	1	1	9	1352	794	27	11	93.953575	普通
5	1	4	1	1	10	1380	794	24	11	94.872620	服务
5	1	4	1	1	11	1404	787	11	28	94.971359	器
5	1	4	1	1	12	1414	794	6	11	93.111343	内
5	1	4	1	1	13	1425	794	7	11	92.294762	存
2	1	5	0	0	0	74	848	1053	18	-1	
3	1	5	1	0	0	74	848	1053	18	-1	
4	1	5	1	1	0	74	848	1053	18	-1	
5	1	5	1	1	1	74	848	63	18	90.834763	1/27/13
5	1	5	1	1	2	1119	850	8	13	97.004692	2
